objectnummer;instelling.naam;objectnaam;titel;beschrijving;vervaardiging.datum.begin;vervaardiging.datum.eind;vervaardiger;vervaardiger.rol;vervaardiging.plaats
1989-0078_056-103;Design Museum Gent;plat bordservies;Plat bord 25 Seagull;Plat bord modelnummer 25 behorende tot het servies Seagull met gouden randjes. De serviesonderdelen zijn klassiek van vorm, maar het decor sluit aan bij een nieuw thema dat de art nouveau aanboorde, met name de natuur. Op een dégradé blauwe achtergrond zweeft een zeemeeuw door het luchtruim, zeepaardjes fungeren als handvatten van schalen en kommen. Het model van het servies - met schubbenmotief in reliëf - dateert uit de jaren 1880 en is van August Hallin. Het decor met de zeemeeuw is van de hand van Fanny Garde en dateert van 1895. Vanaf de jaren 1950 was het servies in één op tien Deense huishoudens te vinden, waardoor het werd bestempeld als het 'nationale Deense servies'. Er bestaat ook een versie zonder gouden randje.;18951948;1951;Garde, FannyHallin, Frederik AugustBing & Grøndahl;ontwerperontwerperuitvoerder;KopenhagenKopenhagenKopenhagen
1989-0078_057-103;Design Museum Gent;plat bordservies;Plat bord 25 Seagull;Plat bord modelnummer 25 behorende tot het servies 'Seagull' met gouden randjes. De serviesonderdelen zijn klassiek van vorm, maar het decor sluit aan bij een nieuw thema dat de art nouveau aanboorde, met name de natuur. Op een dégradé blauwe achtergrond zweeft een zeemeeuw door het luchtruim, zeepaardjes fungeren als handvatten van schalen en kommen. Het model van het servies - met schubbenmotief in reliëf - dateert uit de jaren 1880 en is van August Hallin. Het decor met de zeemeeuw is van de hand van Fanny Garde en dateert van 1895. Vanaf de jaren 1950 was het servies in één op tien Deense huishoudens te vinden, waardoor het werd bestempeld als het 'nationale Deense servies'. Er bestaat ook een versie zonder gouden randje.;18951915;1947;Garde, FannyHallin, Frederik AugustBing & Grøndahl;ontwerperontwerperuitvoerder;KopenhagenKopenhagenKopenhagen
1989-0078_058-103;Design Museum Gent;soepbordservies;Soepbord 22 Seagull;Soepbord modelnummer 22 behorende tot het servies 'Seagull' met gouden randjes. De serviesonderdelen zijn klassiek van vorm, maar het decor sluit aan bij een nieuw thema dat de art nouveau aanboorde, met name de natuur. Op een dégradé blauwe achtergrond zweeft een zeemeeuw door het luchtruim, zeepaardjes fungeren als handvatten van schalen en kommen. Het model van het servies - met schubbenmotief in reliëf - dateert uit de jaren 1880 en is van August Hallin. Het decor met de zeemeeuw is van de hand van Fanny Garde en dateert van 1895. Vanaf de jaren 1950 was het servies in één op tien Deense huishoudens te vinden, waardoor het werd bestempeld als het 'nationale Deense servies'. Er bestaat ook een versie zonder gouden randje.;18951915;1947;Garde, FannyHallin, Frederik AugustBing & Grøndahl;ontwerperontwerperuitvoerder;KopenhagenKopenhagenKopenhagen
1989-0078_059-103;Design Museum Gent;soepbordservies;Soepbord 22 Seagull;Soepbord modelnummer 22 behorende tot het servies Seagull met gouden randjes. De serviesonderdelen zijn klassiek van vorm, maar het decor sluit aan bij een nieuw thema dat de art nouveau aanboorde, met name de natuur. Op een dégradé blauwe achtergrond zweeft een zeemeeuw door het luchtruim, zeepaardjes fungeren als handvatten van schalen en kommen. Het model van het servies - met schubbenmotief in reliëf - dateert uit de jaren 1880 en is van August Hallin. Het decor met de zeemeeuw is van de hand van Fanny Garde en dateert van 1895. Vanaf de jaren 1950 was het servies in één op tien Deense huishoudens te vinden, waardoor het werd bestempeld als het 'nationale Deense servies'. Er bestaat ook een versie zonder gouden randje.;18951915;1947;Garde, FannyHallin, Frederik AugustBing & Grøndahl;ontwerperontwerperuitvoerder;KopenhagenKopenhagenKopenhagen
1989-0078_060-103;Design Museum Gent;soepbordservies;Soepbord 22 Seagull;Soepbord modelnummer 22 behorende tot het servies Seagull met gouden randjes. De serviesonderdelen zijn klassiek van vorm, maar het decor sluit aan bij een nieuw thema dat de art nouveau aanboorde, met name de natuur. Op een dégradé blauwe achtergrond zweeft een zeemeeuw door het luchtruim, zeepaardjes fungeren als handvatten van schalen en kommen. Het model van het servies - met schubbenmotief in reliëf - dateert uit de jaren 1880 en is van August Hallin. Het decor met de zeemeeuw is van de hand van Fanny Garde en dateert van 1895. Vanaf de jaren 1950 was het servies in één op tien Deense huishoudens te vinden, waardoor het werd bestempeld als het 'nationale Deense servies'. Er bestaat ook een versie zonder gouden randje.;18951952;1957;Garde, FannyHallin, Frederik AugustBing & Grøndahl;ontwerperontwerperuitvoerder;KopenhagenKopenhagenKopenhagen
1989-0078_061-103;Design Museum Gent;soepbordservies;Soepbord 22 Seagull;Soepbord modelnummer 22 behorende tot het servies Seagull met gouden randjes. De serviesonderdelen zijn klassiek van vorm, maar het decor sluit aan bij een nieuw thema dat de art nouveau aanboorde, met name de natuur. Op een dégradé blauwe achtergrond zweeft een zeemeeuw door het luchtruim, zeepaardjes fungeren als handvatten van schalen en kommen. Het model van het servies - met schubbenmotief in reliëf - dateert uit de jaren 1880 en is van August Hallin. Het decor met de zeemeeuw is van de hand van Fanny Garde en dateert van 1895. Vanaf de jaren 1950 was het servies in één op tien Deense huishoudens te vinden, waardoor het werd bestempeld als het 'nationale Deense servies'. Er bestaat ook een versie zonder gouden randje.;18951915;1947;Garde, FannyHallin, Frederik AugustBing & Grøndahl;ontwerperontwerperuitvoerder;KopenhagenKopenhagenKopenhagen
1989-0078_062-103;Design Museum Gent;soepbordservies;Soepbord 22 Seagull;Soepbord modelnummer 22 behorende tot het servies Seagull met gouden randjes. De serviesonderdelen zijn klassiek van vorm, maar het decor sluit aan bij een nieuw thema dat de art nouveau aanboorde, met name de natuur. Op een dégradé blauwe achtergrond zweeft een zeemeeuw door het luchtruim, zeepaardjes fungeren als handvatten van schalen en kommen. Het model van het servies - met schubbenmotief in reliëf - dateert uit de jaren 1880 en is van August Hallin. Het decor met de zeemeeuw is van de hand van Fanny Garde en dateert van 1895. Vanaf de jaren 1950 was het servies in één op tien Deense huishoudens te vinden, waardoor het werd bestempeld als het 'nationale Deense servies'. Er bestaat ook een versie zonder gouden randje.;18951915;1947;Garde, FannyHallin, Frederik AugustBing & Grøndahl;ontwerperontwerperuitvoerder;KopenhagenKopenhagenKopenhagen
1989-0078_063-103;Design Museum Gent;soepbordservies;Soepbord 22 Seagull;Soepbord modelnummer 22 behorende tot het servies Seagull met gouden randjes. De serviesonderdelen zijn klassiek van vorm, maar het decor sluit aan bij een nieuw thema dat de art nouveau aanboorde, met name de natuur. Op een dégradé blauwe achtergrond zweeft een zeemeeuw door het luchtruim, zeepaardjes fungeren als handvatten van schalen en kommen. Het model van het servies - met schubbenmotief in reliëf - dateert uit de jaren 1880 en is van August Hallin. Het decor met de zeemeeuw is van de hand van Fanny Garde en dateert van 1895. Vanaf de jaren 1950 was het servies in één op tien Deense huishoudens te vinden, waardoor het werd bestempeld als het 'nationale Deense servies'. Er bestaat ook een versie zonder gouden randje.;18951915;18951947;Garde, FannyHallin, Frederik AugustBing & Grøndahl;ontwerperontwerperuitvoerder;KopenhagenKopenhagenKopenhagen
1989-0078_064-103;Design Museum Gent;soepbordservies;Soepbord 22 Seagull;Soepbord modelnummer 22 behorende tot het servies Seagull met gouden randjes. De serviesonderdelen zijn klassiek van vorm, maar het decor sluit aan bij een nieuw thema dat de art nouveau aanboorde, met name de natuur. Op een dégradé blauwe achtergrond zweeft een zeemeeuw door het luchtruim, zeepaardjes fungeren als handvatten van schalen en kommen. Het model van het servies - met schubbenmotief in reliëf - dateert uit de jaren 1880 en is van August Hallin. Het decor met de zeemeeuw is van de hand van Fanny Garde en dateert van 1895. Vanaf de jaren 1950 was het servies in één op tien Deense huishoudens te vinden, waardoor het werd bestempeld als het 'nationale Deense servies'. Er bestaat ook een versie zonder gouden randje.;18951915;1947;Garde, FannyHallin, Frederik AugustBing & Grøndahl;ontwerperontwerperuitvoerder;KopenhagenKopenhagenKopenhagen
1989-0078_065-103;Design Museum Gent;soepbordservies;Soepbord 22 Seagull;Soepbord modelnummer 22 behorende tot het servies 'Seagull' met gouden randjes. De serviesonderdelen zijn klassiek van vorm, maar het decor sluit aan bij een nieuw thema dat de art nouveau aanboorde, met name de natuur. Op een dégradé blauwe achtergrond zweeft een zeemeeuw door het luchtruim, zeepaardjes fungeren als handvatten van schalen en kommen. Het model van het servies - met schubbenmotief in reliëf - dateert uit de jaren 1880 en is van August Hallin. Het decor met de zeemeeuw is van de hand van Fanny Garde en dateert van 1895. Vanaf de jaren 1950 was het servies in één op tien Deense huishoudens te vinden, waardoor het werd bestempeld als het 'nationale Deense servies'. Er bestaat ook een versie zonder gouden randje.;18951915;1947;Garde, FannyHallin, Frederik AugustBing & Grøndahl;ontwerperontwerperuitvoerder;KopenhagenKopenhagenKopenhagen
1989-0078_066-103;Design Museum Gent;soepbordservies;Soepbord 22 Seagull;Soepbord modelnummer 22 behorende tot het servies Seagull met gouden randjes. De serviesonderdelen zijn klassiek van vorm, maar het decor sluit aan bij een nieuw thema dat de art nouveau aanboorde, met name de natuur. Op een dégradé blauwe achtergrond zweeft een zeemeeuw door het luchtruim, zeepaardjes fungeren als handvatten van schalen en kommen. Het model van het servies - met schubbenmotief in reliëf - dateert uit de jaren 1880 en is van August Hallin. Het decor met de zeemeeuw is van de hand van Fanny Garde en dateert van 1895. Vanaf de jaren 1950 was het servies in één op tien Deense huishoudens te vinden, waardoor het werd bestempeld als het 'nationale Deense servies'. Er bestaat ook een versie zonder gouden randje.;18951915;1947;Garde, FannyHallin, Frederik AugustBing & Grøndahl;ontwerperontwerperuitvoerder;KopenhagenKopenhagenKopenhagen
1989-0078_067-103;Design Museum Gent;soepbordservies;Soepbord 22 Seagull;Soepbord modelnummer 22 behorende tot het servies 'Seagull' met gouden randjes. De serviesonderdelen zijn klassiek van vorm, maar het decor sluit aan bij een nieuw thema dat de art nouveau aanboorde, met name de natuur. Op een dégradé blauwe achtergrond zweeft een zeemeeuw door het luchtruim, zeepaardjes fungeren als handvatten van schalen en kommen. Het model van het servies - met schubbenmotief in reliëf - dateert uit de jaren 1880 en is van August Hallin. Het decor met de zeemeeuw is van de hand van Fanny Garde en dateert van 1895. Vanaf de jaren 1950 was het servies in één op tien Deense huishoudens te vinden, waardoor het werd bestempeld als het 'nationale Deense servies'. Er bestaat ook een versie zonder gouden randje.;18951915;1947;Garde, FannyHallin, Frederik AugustBing & Grøndahl;ontwerperontwerperuitvoerder;KopenhagenKopenhagenKopenhagen
1989-0078_068-103;Design Museum Gent;soepbordservies;Soepbord 22 Seagull;Soepbord modelnummer 22 behorende tot het servies Seagull met gouden randjes. De serviesonderdelen zijn klassiek van vorm, maar het decor sluit aan bij een nieuw thema dat de art nouveau aanboorde, met name de natuur. Op een dégradé blauwe achtergrond zweeft een zeemeeuw door het luchtruim, zeepaardjes fungeren als handvatten van schalen en kommen. Het model van het servies - met schubbenmotief in reliëf - dateert uit de jaren 1880 en is van August Hallin. Het decor met de zeemeeuw is van de hand van Fanny Garde en dateert van 1895. Vanaf de jaren 1950 was het servies in één op tien Deense huishoudens te vinden, waardoor het werd bestempeld als het 'nationale Deense servies'. Er bestaat ook een versie zonder gouden randje.;18951915;1947;Garde, FannyHallin, Frederik AugustBing & Grøndahl;ontwerperontwerperuitvoerder;KopenhagenKopenhagenKopenhagen
1989-0078_069-103;Design Museum Gent;soepbordservies;Soepbord 22 Seagull;Soepbord modelnummer 22 behorende tot het servies 'Seagull' met gouden randjes. De serviesonderdelen zijn klassiek van vorm, maar het decor sluit aan bij een nieuw thema dat de art nouveau aanboorde, met name de natuur. Op een dégradé blauwe achtergrond zweeft een zeemeeuw door het luchtruim, zeepaardjes fungeren als handvatten van schalen en kommen. Het model van het servies - met schubbenmotief in reliëf - dateert uit de jaren 1880 en is van August Hallin. Het decor met de zeemeeuw is van de hand van Fanny Garde en dateert van 1895. Vanaf de jaren 1950 was het servies in één op tien Deense huishoudens te vinden, waardoor het werd bestempeld als het 'nationale Deense servies'. Er bestaat ook een versie zonder gouden randje.;18951915;1947;Garde, FannyHallin, Frederik AugustBing & Grøndahl;ontwerperontwerperuitvoerder;KopenhagenKopenhagenKopenhagen
1989-0078_070-103;Design Museum Gent;kop (drinkgerei)servies;Koffiekop 102 Seagull;Koffiekop modelnummer 102 behorende tot het servies Seagull met gouden randjes. De serviesonderdelen zijn klassiek van vorm, maar het decor sluit aan bij een nieuw thema dat de art nouveau aanboorde, met name de natuur. Op een dégradé blauwe achtergrond zweeft een zeemeeuw door het luchtruim, zeepaardjes fungeren als handvatten van schalen en kommen. Het model van het servies - met schubbenmotief in reliëf - dateert uit de jaren 1880 en is van August Hallin. Het decor met de zeemeeuw is van de hand van Fanny Garde en dateert van 1895. Vanaf de jaren 1950 was het servies in één op tien Deense huishoudens te vinden, waardoor het werd bestempeld als het 'nationale Deense servies'. Er bestaat ook een versie zonder gouden randje.;18951915;1947;Garde, FannyHallin, Frederik AugustBing & Grøndahl;ontwerperontwerperuitvoerder;KopenhagenKopenhagenKopenhagen
1989-0078_071-103;Design Museum Gent;kop (drinkgerei)servies;Koffiekop 102 Seagull;Koffiekop modelnummer 102 behorende tot het servies 'Seagull' met gouden randjes. De serviesonderdelen zijn klassiek van vorm, maar het decor sluit aan bij een nieuw thema dat de art nouveau aanboorde, met name de natuur. Op een dégradé blauwe achtergrond zweeft een zeemeeuw door het luchtruim, zeepaardjes fungeren als handvatten van schalen en kommen. Het model van het servies - met schubbenmotief in reliëf - dateert uit de jaren 1880 en is van August Hallin. Het decor met de zeemeeuw is van de hand van Fanny Garde en dateert van 1895. Vanaf de jaren 1950 was het servies in één op tien Deense huishoudens te vinden, waardoor het werd bestempeld als het 'nationale Deense servies'. Er bestaat ook een versie zonder gouden randje.;18951915;1947;Garde, FannyHallin, Frederik AugustBing & Grøndahl;ontwerperontwerperuitvoerder;KopenhagenKopenhagenKopenhagen
